id,title,venue,startDate,endDate,artistIds,workIds,url,area,movement,era
exhibition_orsay_impressionist_interiors_2025_tokyo,オルセー美術館所蔵 印象派―室内をめぐる物語,国立西洋美術館,2025-10-25,2026-02-15,artist_claude_monet|artist_edgar_degas|artist_pierre_auguste_renoir|artist_vincent_van_gogh|artist_paul_gauguin,work_impression_sunrise,https://www.orsay2025.jp/,tokyo,impressionism|post_impressionism,modern_19c
exhibition_hokusai_ukiyo_e_encyclopedia_2025_tokyo,北斎でひもとく！浮世絵版画大百科,すみだ北斎美術館,2025-12-11,2026-02-23,artist_katsushika_hokusai,work_great_wave_off_kanagawa,https://hokusai-museum.jp/encyclopedia/,tokyo,ukiyo_e,edo
exhibition_andrew_wyeth_2026_tokyo,アンドリュー・ワイエス展,東京都美術館,2026-04-28,2026-07-05,artist_andrew_wyeth,,https://bijutsutecho.com/magazine/news/exhibition/31573,tokyo,realism,modern_mid_20c
exhibition_ciurlionis_2026_tokyo,チュルリョーニス展 内なる星図,国立西洋美術館,2026-03-28,2026-06-14,artist_mikalojus_konstantinas_ciurlionis,,https://www.nmwa.go.jp/jp/exhibitions/2026ciurlionis.html,tokyo,symbolism,modern_early_20c
exhibition_mori_hanae_vital_type_2026_tokyo,生誕100年 森英恵 VITAL TYPE,国立新美術館,2026-04-15,2026-07-06,artist_mori_hanae,,https://www.nact.jp/exhibition_special/2026/mori_hanae/,tokyo,contemporary_art,contemporary
exhibition_ron_mueck_2026_tokyo,ロン・ミュエク展,森美術館,2026-04-29,2026-09-23,artist_ron_mueck,,https://www.mori.art.museum/jp/exhibitions/ron_mueck/,tokyo,contemporary_art,contemporary
exhibition_hiroshi_sugimoto_extinct_photographs_2026_tokyo,杉本博司「失われた写真」,東京国立近代美術館,2026-06-16,2026-09-13,artist_hiroshi_sugimoto,,https://www.momat.go.jp/exhibitions/548,tokyo,contemporary_art,contemporary
exhibition_rembrandt_printmaker_2026_tokyo,版画家レンブラント 挑戦、継承、インパクト,国立西洋美術館,2026-07-07,2026-09-23,artist_rembrandt,,https://www.nmwa.go.jp/jp/exhibitions/2026rembrandt.html,tokyo,,baroque
exhibition_turner_tate_2026_tokyo,テート美術館 ターナー展――崇高の絵画、現代美術との対話,国立西洋美術館,2026-10-24,2027-02-21,artist_jmw_turner,,https://www.nmwa.go.jp/jp/exhibitions/2026turner.html,tokyo,romanticism,modern_19c
exhibition_japan_korea_art_80_years_2025_yokohama,いつもとなりにいるから 日本と韓国、アートの80年,横浜美術館,2025-12-06,2026-03-22,artist_lee_ufan|artist_nam_june_paik,,https://yokohama.art.museum/exhibition/202512_jkart1945/,kanagawa,contemporary_art,contemporary
